feature,p-value
abilow,0.18470187377048675
ablvef,7.00833147387846e-05
acei,0.6474126827605298
angcls6w,0.7276468783340284
angeq6w,0.11806711071342939
apa,0.7580558975945926
arb,0.7768104596524115
asp,0.29606866239399543
betab,0.8030844508286287
biguanide,3.0909502537990117e-06
cardtrt,0.23765549655160617
ccb,0.45899439407564135
diabtrt,0.771893273182644
diur,0.0005671860197739413
educat,3.2552451838018385e-05
geographic_reg,0.1533790517616239
hispanic,2.0885388707441736e-10
hmg,1.7860060148892863e-07
hxchf,5.3273206072335184e-05
hxchl,4.837956329621711e-17
hxcva,0.20020757032850175
hxetoh,4.1897718976224994e-05
hxhtn,0.00495694596314943
hxhypo,0.5907651555050932
hxmi,9.154764813466955e-06
hxxcartdx,0.024309043827321766
insulin,0.2956644552838521
mdins,6.857656174136014e-09
ndsregion,0.8609572189886089
nhhp,0.17063909089255128
nsgn,0.48653643048758033
palev,0.7184144882196304
priorrev,0.10797173839807898
priorstent,0.12986502482688325
qabn,0.20719797387105343
race,6.214352831134644e-65
rand_year,0.9458984121691928
regex,0.08821742574598612
sex,0.6658327089208824
sigproxlad,0.7522458511517784
slfhlth,0.197059854496851
smkcat,5.333364866093177e-10
stabn,0.029783132988688517
strata,0.17296233943253214
sulf,0.07193575491519871
tabn,0.003190011246829805
totalocl,0.1574624916555395
tzd,0.034821683285713396
workstat,7.136100809445302e-12
