feature,value,phenotype 0,phenotype 1
strata,b'CABG',145,618
strata,b'PCI',267,1338
mdins,1.0,150,462
mdins,2.0,178,842
mdins,3.0,70,554
mdins,4.0,11,88
hxetoh,0.0,344,1446
hxetoh,1.0,65,496
palev,1.0,96,422
palev,2.0,163,804
palev,3.0,149,709
regex,0.0,290,1454
regex,1.0,119,482
slfhlth,1.0,4,31
slfhlth,2.0,34,183
slfhlth,3.0,171,827
slfhlth,4.0,158,657
slfhlth,5.0,37,231
angeq6w,0.0,161,677
angeq6w,1.0,247,1245
hxmi,0.0,310,1272
hxmi,1.0,90,656
hxchf,0.0,361,1831
hxchf,1.0,46,110
hxhtn,0.0,51,357
hxhtn,1.0,356,1573
hxchl,0.0,132,291
hxchl,1.0,269,1644
hxcva,0.0,358,1768
hxcva,1.0,47,183
betab,0.0,114,526
betab,1.0,297,1423
nsgn,0.0,288,1332
nsgn,1.0,122,617
diur,0.0,221,1229
diur,1.0,190,721
acei,0.0,141,695
acei,1.0,270,1255
arb,0.0,354,1667
arb,1.0,57,284
asp,0.0,56,227
asp,1.0,354,1719
hmg,0.0,145,447
hmg,1.0,265,1503
biguanide,0.0,233,855
biguanide,1.0,179,1097
tzd,0.0,350,1568
tzd,1.0,62,384
sulf,0.0,175,927
sulf,1.0,237,1025
hxhypo,0.0,321,1491
hxhypo,1.0,85,428
sex,1.0,294,1372
sex,2.0,118,584
cardtrt,0.0,196,996
cardtrt,1.0,216,960
diabtrt,0.0,209,974
diabtrt,1.0,203,982
educat,1.0,189,676
educat,2.0,82,429
educat,3.0,135,833
angcls6w,1.0,174,831
angcls6w,2.0,30,174
angcls6w,3.0,39,186
angcls6w,4.0,168,763
hxxcartdx,0.0,296,1509
hxxcartdx,1.0,116,446
smkcat,0.0,399,1674
smkcat,1.0,13,282
ccb,0.0,275,1344
ccb,1.0,136,606
insulin,0.0,288,1417
insulin,1.0,124,535
ablvef,0.0,303,1587
ablvef,1.0,98,302
qabn,0.0,334,1528
qabn,1.0,66,367
stabn,0.0,291,1484
stabn,1.0,79,293
tabn,0.0,187,1049
tabn,1.0,183,728
sigproxlad,0.0,355,1697
sigproxlad,1.0,57,256
totalocl,0.0,256,1137
totalocl,1.0,156,816
ndsregion,1.0,133,658
ndsregion,2.0,150,699
ndsregion,3.0,129,597
priorstent,0.0,367,1684
priorstent,1.0,45,271
priorrev,0.0,328,1482
priorrev,1.0,84,474
geographic_reg,1.0,274,1225
geographic_reg,2.0,138,731
hispanic,0.0,321,1750
hispanic,1.0,91,206
race,0.0,266,436
race,1.0,146,1520
nhhp,1.0,71,272
nhhp,2.0,174,901
nhhp,3.0,81,352
nhhp,4.0,31,190
nhhp,5.0,53,227
workstat,1.0,109,771
workstat,2.0,225,686
workstat,3.0,39,265
workstat,4.0,38,223
rand_year,2001.0,47,215
rand_year,2002.0,96,455
rand_year,2003.0,113,560
rand_year,2004.0,131,593
rand_year,2005.0,25,133
apa,0.0,328,1572
apa,1.0,83,378
abilow,0.0,284,1387
abilow,1.0,89,360
