,,phenotype 0,phenotype 1
slfscore,mean,65.13676470588236,63.25439127801332
slfscore,std,19.285555915874436,19.184292117206823
weight,mean,82.73215317919076,92.76301625526791
weight,std,15.896273612054344,20.002003221794446
sbp_stand,mean,133.34666666666666,128.82792406613595
sbp_stand,std,21.05379854644813,20.9503768079763
dbp_stand,mean,71.64444444444445,75.4206008583691
dbp_stand,std,11.799554049478639,11.781900119942188
screat,mean,1.1217366136034732,1.0118028846153846
screat,std,0.30048925337960364,0.2619812014965099
spotass,mean,4.343831640058055,4.31319830713422
spotass,std,0.4812415575675171,0.46617750329969215
energy,mean,53.830882352941174,50.33479443772672
energy,std,22.604545252743762,22.963201711375778
hlthdist,mean,35.21752450980392,42.66989312361364
hlthdist,std,24.17308620235754,25.42540019195985
dasi,mean,17.11894273127753,19.698155985489716
dasi,std,12.193135764145824,13.92701281503846
dmdur,mean,12.391376269628344,9.633155414264863
dmdur,std,9.637764143454524,8.093558124666064
waist,mean,103.8457014925373,109.35322660098522
waist,std,11.913425822514187,14.04257161036726
height,mean,166.1558623188406,168.74762121212123
height,std,10.33404409869856,9.865885342687813
sbp_sit,mean,135.02043795620438,130.3246359223301
sbp_sit,std,20.148633153059514,19.80967914544577
dbp_sit,mean,71.91678832116789,75.58652094717668
dbp_sit,std,10.917169329146953,11.18847210836675
abi,mean,1.010313014827018,1.0602087542087542
abi,std,0.2229025469221789,0.21951157999250395
mnsiscr,mean,3.41812865497076,3.859214501510574
mnsiscr,std,2.4615387599790113,2.762264831712393
mnsicl,mean,2.5899854862119014,2.3832425892317
mnsicl,std,1.6328837825955227,1.6945050452860355
pai1act,mean,17.245258215962444,21.95697969543147
pai1act,std,14.006909710683914,17.404998428627906
pai1ag,mean,24.410361067503928,28.39332485696122
pai1ag,std,15.793657254120093,18.58980266980157
tpa,mean,9.939644970414202,10.180478821362799
tpa,std,4.1612173280838185,3.891177826976606
insul_circ,mean,12.832965838509317,14.674926045016075
insul_circ,std,13.142078824320285,13.988499663034363
hba1c,mean,7.052967359050446,7.8977496917385945
hba1c,std,1.169764625796609,1.7030580482881061
tchol,mean,161.55473372781066,172.4757817290006
tchol,std,35.56042275406062,42.8934104323064
hdl,mean,38.964444444444446,37.84984615384615
hdl,std,10.622546612657489,10.083987284069844
ldl,mean,92.31570996978851,97.73188405797102
ldl,std,30.46227340139128,34.52271687974639
trig,mean,153.17011834319527,192.42918454935622
trig,std,87.74889625888545,149.91786211412025
acr,mean,144.3947641509434,153.82311688311688
acr,std,401.33135600427204,605.5170784803756
myojeop,mean,46.15251798561151,43.74326750448833
myojeop,std,24.43593733164277,24.05476363941577
nles20,mean,4.899280575539568,4.682634730538922
nles20,std,2.2575360954626333,2.2633395803178127
ntotsigles,mean,2.79568345323741,2.6383233532934134
ntotsigles,std,1.8700533404680069,1.7876393559607489
ntotsig70,mean,1.274820143884892,1.1778443113772454
ntotsig70,std,1.3752177467188493,1.3254616387261255
age,mean,70.75971223021583,58.269575612671844
age,std,5.1087414409179885,7.2849315789004745
pulse60_sit,mean,66.82544378698225,68.80061728395061
pulse60_sit,std,10.147169090120757,10.734904346553716
bmi,mean,29.875666666666664,32.45741212121212
bmi,std,4.623620736296479,6.048425715706676
