feature,p-value
CISTDEEP,0.8690627353426096
CPLEGIA,0.10890300626501374
Operative_mortality,0.019721453321260067
READM30,0.44220946137222616
admstemi,1.0
alcohol,3.0069112798166822e-36
aortoccl,0.09401394307475433
arrhyafib,0.19268481021210643
arrhyth,0.36999396571988796
arrhythb,0.8732649050883523
arrhyvtach,1.0
cancer,0.13286839785413043
cardsymptimeofadm,0.00896737687437993
carshock,1.0
chf,0.003715594636133779
chrlungd,0.27660951245789517
cnstrokp,0.2180751183572666
cnstrokttia,1.0
complics,0.9480521226285836
coprebld,1.0
coprenon,0.22695427318233247
copreoth,0.7778604920734495
cpbutil,0.932536249048536
cpvntlng,0.2906360798551091
crendial,0.14216603447091036
crenfail,0.6952661218288014
cvd,0.00012600587619921217
diabetes,1.0
dialysis,0.08307073302667035
dyslip,0.15034595545731205
ethnicity,1.0
female,8.450205378759916e-05
fhcad,0.12393276546252678
hitanti,1.0
hmo2,0.000873540761696471
hypertn,0.02421492337077521
iabp,0.9698295568445751
icureadm,0.6277941734545598
immsupp,0.726947466128545
incidenc,0.8711105726618686
infendo,1.0
ivdrugab,0.41960979996018155
liverdis,0.2512690058079978
medacei48,0.8049046003957894
medacoag,0.2512690058079978
medadp5days,0.594463028238185
medasa,0.44013174924260323
medbeta,0.2548621034890949
medgp,0.46179051176354935
mediastrad,0.3518191640396613
medinotr,0.8732649050883523
medlipid,1.0
mednitiv,0.22573311965077436
medster,0.629184083912381
mortalty,1.0
mt30stat,0.028709860337423603
mtdcstat,0.7004286839249445
numdisv,0.060739989613720576
pneumonia_0.0,1.0
pneumonia_2.0,1.0
pneumonia_3.0,0.9845332469866902
prcvint,0.08917589324240434
prevmi,5.73391362647039e-07
priorhf,0.600598170423041
pvd,0.115479611547828
raceasian,0.7818538898500685
raceblack,1.0
racecaucasian,0.9959124832790529
racenativeam,1.0
raceother,0.6954487472578732
racnativepacific,1.0
recentishsmoker,0.2716673261826691
resusc,1.0
status,1.0
syncope,0.32390119576740195
unrespstat,1.0
vdaort,0.0011651301787373302
vdinsufm,0.0009950144756175434
vdinsuft,0.2941320337251093
vdmit,5.954872936383314e-05
vdpulm,0.0019219666568249208
vdtr,0.02283068545353604
