,p-value
age,5.029929944889107e-08
heightcm,4.560151317262384e-06
weightkg,4.45537224868473e-54
bmi,1.5098347015996365e-84
bsa,1.2090809642159692e-27
wbc,0.026514679251220072
hct,0.02844365591316376
platelets,0.5226277584397798
totalbumin,0.00882526316538961
a1clvl,1.789353039869271e-05
creatlst,8.565722373089941e-07
totblrbn,0.9204037414986304
inr,0.09432000990967053
hdef,1.6581996602449097e-07
PREDMORT,0.019337544399532683
PREDDEEP,7.26212677660769e-05
PREDREOP,6.736533852247433e-14
PREDSTRO,4.676482268746732e-12
PREDVENT,0.9797215126507703
PREDRENF,0.5201361819339704
PREDMM,0.14053196192626222
PRED6D,0.5467598289698133
PRED14D,0.2620167440810076
TOTHRICU,0.03462222747678271
ICUINHRS,0.06503878288881933
ICUADHRS,0.9555842469442757
VENTHRSTOT,0.2598586418706019
