Group Of ShortName,SectionEstimate,v2_61,v2_73,v2_81,v2_9,Code,CodeList
VendorID,,Yes,Yes,Yes,Yes,,
,,,,,,,
SoftVrsn,,Yes,Yes,Yes,Yes,,
,,,,,,,
ErrFlag,,Yes,Yes,,,,
,,,,,,,
Hrvstnum,,Yes,Yes,,,,
,,,,,,,
ProcID,,Yes,Yes,,,,
,,,,,,,
RcrdNum,,Yes,Yes,,,,
,,,,,,,
SurgYear,,Yes,Yes,,,,
,,,,,,,
DataVrsn,A,Yes,Yes,Yes,Yes,,
,,,,,,,
OnDemandVrsn,A,,Yes,Yes,Yes,,
,,,,,,,
ParticID,A,Yes,Yes,Yes,Yes,,
,,,,,,,
RecordID,A,Yes,Yes,Yes,Yes,,
,,,,,,,
CostLink,A,Yes,Yes,Yes,Yes,,
,,,,,,,
PatID,A,Yes,Yes,Yes,Yes,,
,,,,,,,
ClinTrial,A,,,Yes,Yes,,
,,,,,,0,"""None"""
,,,,,,2,"""Trial 1"""
,,,,,,3,"""Trial 2"""
,,,,,,4,"""Trial 3"""
,,,,,,5,"""Trial 4"""
,,,,,,6,"""Trial 5"""
,,,,,,7,"""Trial 6"""
ClinTrialPatID,A,,,Yes,Yes,,
,,,,,,,
STSTLink,A,Yes,,,,,
,,,,,,1,"""Patient known to be in an IRB-approved clinical trial"""
,,,,,,9,"""Patient known not to be in an IRB-approved clinical trial"""
PatLName,B,Yes,Yes,Yes,Yes,,
,,,,,,,
PatFName,B,Yes,Yes,Yes,Yes,,
,,,,,,,
PatMName,B,,Yes,Yes,Yes,,
,,,,,,,
DOB,B,Yes,Yes,Yes,Yes,,
,,,,,,,
Age,B,Yes,Yes,Yes,Yes,,
,,,,,,,
Female,B,Yes,Yes,Yes,Yes,,
,,,,,,0,"""Male"""
,,,,,,1,"""Female"""
SSNKnown,B,,,,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
,,,,,,3,"""Refused"""
SSN,B,Yes,Yes,Yes,Yes,,
,,,,,,,
MedRecN,B,Yes,Yes,Yes,Yes,,
,,,,,,,
PatAddr,B,,Yes,Yes,Yes,,
,,,,,,,
PatCity,B,,Yes,Yes,Yes,,
,,,,,,,
PatRegion,B,,Yes,Yes,Yes,,
,,,,,,,
PatZIP,B,Yes,Yes,Yes,Yes,,
,,,,,,,
PatientCountry,B,,,Yes,Yes,,
,,,,,,1,"""Afghanistan"""
,,,,,,2,"""Åland Island"""
,,,,,,11,"""Argentina"""
,,,,,,14,"""Australia"""
,,,,,,17,"""Bahamas"""
,,,,,,25,"""Bermuda"""
,,,,,,31,"""Brazil"""
,,,,,,40,"""Canada"""
,,,,,,46,"""China"""
,,,,,,53,"""Costa Rica"""
,,,,,,88,"""Greece"""
,,,,,,92,"""Guam"""
,,,,,,93,"""Guatemala"""
,,,,,,105,"""India"""
,,,,,,109,"""Ireland"""
,,,,,,111,"""Israel"""
,,,,,,112,"""Italy"""
,,,,,,113,"""Jamaica"""
,,,,,,114,"""Japan"""
,,,,,,116,"""Jordan"""
,,,,,,143,"""Mexico"""
,,,,,,166,"""State of Palestine"""
,,,,,,173,"""Peru"""
,,,,,,176,"""Poland"""
,,,,,,178,"""Puerto Rico"""
,,,,,,184,"""Russian Federation"""
,,,,,,196,"""Saudi Arabia"""
,,,,,,201,"""Singapore"""
,,,,,,215,"""Switzerland"""
,,,,,,225,"""Trinidad And Tobago"""
,,,,,,227,"""Turkey"""
,,,,,,231,"""Uganda"""
,,,,,,233,"""United Arab Emirates"""
,,,,,,234,"""United Kingdom Of Great Britain And Northern Ireland"""
,,,,,,235,"""United Republic Of Tanzania"""
,,,,,,236,"""United States Minor Outlying Islands"""
,,,,,,237,"""United States Of America"""
,,,,,,238,"""United States Virgin Islands"""
,,,,,,242,"""Venezuela (Bolivarian Republic Of)"""
,,,,,,246,"""Yemen"""
,,,,,,300,"""Scotland"""
,,,,,,999,"""Other"""
PermAddr,B,,Yes,Yes,Yes,,
,,,,,,-9,"""Unknown"""
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
RaceDocumented,B,,,Yes,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
,,,,,,3,"""Patient declined to disclose"""
RaceCaucasian,B,Yes,Yes,Yes,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
RaceBlack,B,Yes,Yes,Yes,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
RaceAsian,B,Yes,Yes,Yes,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
RaceNativeAm,B,Yes,Yes,Yes,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
RacNativePacific,B,Yes,Yes,Yes,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
RaceOther,B,Yes,Yes,Yes,Yes,,
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
Ethnicity,B,Yes,Yes,Yes,Yes,,
,,,,,,-8,"""Not Documented"""
,,,,,,0,"""No"""
,,,,,,1,"""Yes"""
HICNumber,B,Yes,Yes,,,,
,,,,,,,
PatCountry,B,,Yes,,,,
,,,,,,1,"""AFGHANISTAN"""
,,,,,,2,"""ÅLAND ISLAND"""
,,,,,,3,"""ALBANIA"""
,,,,,,4,"""ALGERIA"""
,,,,,,5,"""AMERICAN SAMOA"""
,,,,,,6,"""ANDORRA"""
,,,,,,7,"""ANGOLA"""
,,,,,,8,"""ANGUILLA"""
,,,,,,9,"""ANTARCTICA"""
,,,,,,10,"""ANTIGUA AND BARBUDA"""
,,,,,,11,"""ARGENTINA"""
,,,,,,12,"""ARMENIA"""
,,,,,,13,"""ARUBA"""
,,,,,,14,"""AUSTRALIA"""
,,,,,,15,"""AUSTRIA"""
,,,,,,16,"""AZERBAIJAN"""
,,,,,,17,"""BAHAMAS"""
,,,,,,18,"""BAHRAIN"""
,,,,,,19,"""BANGLADESH"""
,,,,,,20,"""BARBADOS"""
,,,,,,21,"""BELARUS"""
,,,,,,22,"""BELGIUM"""
,,,,,,23,"""BELIZE"""
,,,,,,24,"""BENIN"""
,,,,,,25,"""BERMUDA"""
,,,,,,26,"""BHUTAN"""
,,,,,,27,"""BOLIVIA (PLURINATIONAL STATE OF)"""
,,,,,,28,"""BOSNIA AND HERZEGOVINA"""
,,,,,,29,"""BOTSWANA"""
,,,,,,30,"""BOUVET ISLAND"""
,,,,,,31,"""BRAZIL"""
,,,,,,32,"""BRITISH INDIAN OCEAN TERRITORY"""
,,,,,,33,"""BRITISH VIRGIN ISLANDS"""
,,,,,,34,"""BRUNEI DARUSSALAM"""
,,,,,,35,"""BULGARIA"""
,,,,,,36,"""BURKINA FASO"""
,,,,,,37,"""BURUNDI"""
,,,,,,38,"""CAMBODIA"""
,,,,,,39,"""CAMEROON"""
,,,,,,40,"""CANADA"""
,,,,,,41,"""CAPE VERDE"""
,,,,,,42,"""CAYMAN ISLANDS"""
,,,,,,43,"""CENTRAL AFRICAN REPUBLIC"""
,,,,,,44,"""CHAD"""
,,,,,,45,"""CHILE"""
,,,,,,46,"""CHINA"""
,,,,,,47,"""CHRISTMAS ISLAND"""
,,,,,,48,"""COCOS (KEELING) ISLANDS"""
